season_number,episode_number,vote_key,episode_id,user_id,series_name
1,5,7550559-13991889-19,7550559,13991889,I Am Not Okay With This
1,6,7550560-13991889-19,7550560,13991889,I Am Not Okay With This
1,6,7550560-13991889-18,7550560,13991889,I Am Not Okay With This
1,6,7550560-13991889-28,7550560,13991889,I Am Not Okay With This
1,7,7550563-13991889-19,7550563,13991889,I Am Not Okay With This
1,7,7550563-13991889-18,7550563,13991889,I Am Not Okay With This
1,7,7550563-13991889-28,7550563,13991889,I Am Not Okay With This
4,23,7553213-13991889-32,7553213,13991889,My Hero Academia
4,23,7553213-13991889-31,7553213,13991889,My Hero Academia
4,25,7553216-13991889-28,7553216,13991889,My Hero Academia
4,25,7553216-13991889-32,7553216,13991889,My Hero Academia
1,12,7560337-13991889-27,7560337,13991889,Batwoman
1,12,7560337-13991889-29,7560337,13991889,Batwoman
1,12,7560337-13991889-19,7560337,13991889,Batwoman
3,16,7564224-13991889-28,7564224,13991889,Young Sheldon
3,16,7564224-13991889-18,7564224,13991889,Young Sheldon
3,16,7564224-13991889-13,7564224,13991889,Young Sheldon
3,16,7564224-13991889-19,7564224,13991889,Young Sheldon
1,10,7693422-13991889-18,7693422,13991889,Stargirl
1,10,7693422-13991889-30,7693422,13991889,Stargirl
1,10,7693422-13991889-28,7693422,13991889,Stargirl
1,10,7693422-13991889-29,7693422,13991889,Stargirl
1,10,7693422-13991889-27,7693422,13991889,Stargirl
1,10,7693422-13991889-15,7693422,13991889,Stargirl
3,1,7731997-13991889-28,7731997,13991889,The Rain
3,1,7731997-13991889-14,7731997,13991889,The Rain
3,1,7731997-13991889-38,7731997,13991889,The Rain
3,1,7731997-13991889-18,7731997,13991889,The Rain
3,2,7798148-13991889-27,7798148,13991889,The Rain
3,2,7798148-13991889-29,7798148,13991889,The Rain
3,3,7798150-13991889-28,7798150,13991889,The Rain
3,3,7798150-13991889-18,7798150,13991889,The Rain
3,3,7798150-13991889-19,7798150,13991889,The Rain
3,4,7798151-13991889-18,7798151,13991889,The Rain
3,4,7798151-13991889-28,7798151,13991889,The Rain
3,5,7798153-13991889-18,7798153,13991889,The Rain
3,5,7798153-13991889-28,7798153,13991889,The Rain
3,6,7798154-13991889-18,7798154,13991889,The Rain
3,6,7798154-13991889-28,7798154,13991889,The Rain
1,1,8144884-13991889-28,8144884,13991889,INVINCIBLE (2021)
1,2,8153158-13991889-28,8153158,13991889,INVINCIBLE (2021)
1,3,8153159-13991889-28,8153159,13991889,INVINCIBLE (2021)
1,4,8153160-13991889-28,8153160,13991889,INVINCIBLE (2021)
1,5,8153163-13991889-28,8153163,13991889,INVINCIBLE (2021)
1,6,8153164-13991889-32,8153164,13991889,INVINCIBLE (2021)
1,6,8153164-13991889-33,8153164,13991889,INVINCIBLE (2021)
1,7,8153165-13991889-37,8153165,13991889,INVINCIBLE (2021)
1,7,8153165-13991889-28,8153165,13991889,INVINCIBLE (2021)
1,8,8153167-13991889-34,8153167,13991889,INVINCIBLE (2021)
1,8,8153167-13991889-28,8153167,13991889,INVINCIBLE (2021)
1,1,8307201-13991889-31,8307201,13991889,Sex!fy
1,11,8593355-13991889-33,8593355,13991889,The Great Jahy Will Not Be Defeated!
1,1,8616998-13991889-37,8616998,13991889,Inside Job
1,1,8616998-13991889-28,8616998,13991889,Inside Job
1,2,8890210-13991889-28,8890210,13991889,Halo
1,2,8890210-13991889-37,8890210,13991889,Halo
1,3,8890211-13991889-37,8890211,13991889,Halo
1,3,8890211-13991889-28,8890211,13991889,Halo
1,4,8974642-13991889-37,8974642,13991889,Halo
1,4,8974642-13991889-39,8974642,13991889,Halo
6,3,8996831-13991889-28,8996831,13991889,Better Call Saul
6,3,8996831-13991889-30,8996831,13991889,Better Call Saul
6,7,8996835-13991889-32,8996835,13991889,Better Call Saul
6,7,8996835-13991889-30,8996835,13991889,Better Call Saul
6,7,8996835-13991889-39,8996835,13991889,Better Call Saul
6,7,8996835-13991889-28,8996835,13991889,Better Call Saul
0,1,9507927-13991889-31,9507927,13991889,Kaleidoscope (2023)
6,1,9757136-13991889-28,9757136,13991889,Black Mirror
6,1,9757136-13991889-34,9757136,13991889,Black Mirror
2,17,9879037-13991889-37,9879037,13991889,JUJUTSU KAISEN
2,17,9879037-13991889-28,9879037,13991889,JUJUTSU KAISEN
7,1,9971637-13991889-37,9971637,13991889,Rick and Morty
7,1,9971637-13991889-33,9971637,13991889,Rick and Morty
5,1,10402475-13991889-28,10402475,13991889,Demon Slayer: Kimetsu no Yaiba
