timezone,updated_at,user_id,zip_code,latitude,city_name,created_at,ip_address,longitude,hits,country_code,country_name,region_name
,2022-09-16 01:50:24,13991889,,,,2022-09-16 01:50:24,181.110.131.90,,1,,,
,2022-05-13 21:55:19,13991889,,,,2022-05-13 04:16:37,181.110.131.96,,2,,,
,2022-03-27 18:45:59,13991889,,,,2022-03-27 18:45:59,181.110.52.7,,1,,,
,2023-11-06 15:53:13,13991889,,,,2023-11-05 03:38:46,181.110.53.2,,3,,,
-03:00,2023-04-01 01:46:03,13991889,5000,-31.43,Córdoba,2023-03-10 01:21:16,181.110.54.102,-64.18,9,AR,Argentina,Cordoba
-03:00,2022-11-21 19:45:08,13991889,5000,-31.43,Córdoba,2022-11-05 15:04:04,181.110.54.24,-64.18,14,AR,Argentina,Cordoba
,2024-02-29 02:25:56,13991889,,,,2024-02-29 02:25:56,181.110.54.73,,1,,,
-03:00,2022-06-28 04:38:55,13991889,5000,-31.43,Córdoba,2022-06-25 22:10:19,181.110.55.101,-64.17,10,AR,Argentina,Cordoba
-03:00,2021-04-12 17:20:55,13991889,4400,-24.78,Salta,2021-04-11 20:24:51,181.111.44.16,-65.42,8,AR,Argentina,Salta
-03:00,2023-05-07 03:41:26,13991889,5000,-31.43,Córdoba,2023-04-19 22:09:28,181.111.47.189,-64.18,13,AR,Argentina,Cordoba
,2021-01-01 05:53:01,13991889,,,,2021-01-01 05:46:55,181.116.210.221,,2,,,
-03:00,2021-05-07 04:30:35,13991889,,-34.60,,2019-12-30 21:18:01,181.116.248.9,-58.38,1240,AR,Argentina,
-03:00,2025-10-04 13:24:35,13991889,5000,-31.43,Córdoba,2024-03-08 13:34:45,181.116.60.174,-64.18,116,AR,Argentina,Cordoba
,2018-05-17 19:55:15,13991889,,,,2018-05-17 18:04:26,181.117.221.11,,3,,,
,2023-08-14 22:28:14,13991889,,,,2023-08-14 22:28:14,181.15.111.62,,1,,,
,2020-08-09 15:09:03,13991889,,,,2020-08-09 15:09:03,181.164.1.50,,1,,,
-03:00,2017-12-14 00:45:10,13991889,5000,-31.43,Córdoba,2017-11-17 00:22:43,181.228.227.34,-64.17,44,AR,Argentina,Cordoba
,2026-05-23 23:06:22,13991889,,,,2026-05-23 23:06:22,181.238.11.135,,1,,,
,2026-05-24 18:14:55,13991889,,,,2026-05-24 18:14:55,181.238.11.153,,1,,,
,2024-06-15 01:30:15,13991889,,,,2024-06-15 01:30:15,181.238.113.131,,1,,,
,2026-01-12 23:21:34,13991889,,,,2026-01-12 23:21:34,181.238.114.56,,1,,,
,2026-05-18 01:27:42,13991889,,,,2026-05-18 01:27:42,181.238.13.114,,1,,,
,2024-08-27 16:50:56,13991889,,,,2024-08-27 16:50:56,181.238.13.23,,1,,,
,2024-05-04 16:07:58,13991889,,,,2024-05-04 16:07:58,181.238.14.250,,1,,,
,2025-08-30 00:50:05,13991889,,,,2025-08-30 00:50:05,181.238.24.16,,1,,,
,2024-05-03 19:10:58,13991889,,,,2024-05-03 19:10:58,181.238.29.118,,1,,,
